Bin_center_value,Bin_counts
0.089153127,2
0.089459377,0
0.089765627,0
0.090071877,0
0.090378127,0
0.090684377,0
0.090990627,0
0.091296877,0
0.091603127,0
0.091909377,0
0.092215627,0
0.092521877,0
0.092828127,0
0.093134377,0
0.093440627,0
0.093746877,0
0.094053127,0
0.094359377,0
0.094665627,0
0.094971877,0
0.095278127,0
0.095584377,0
0.095890627,0
0.096196877,0
0.096503127,0
0.096809377,0
0.097115627,0
0.097421877,0
0.097728127,2
0.098034377,0
0.098340627,1
0.098646877,0
0.098953127,1
0.099259377,0
0.099565627,1
0.099871877,1
0.100178127,0
0.100484377,0
0.100790627,1
0.101096877,0
0.101403127,1
0.101709377,1
0.102015627,0
0.102321877,0
0.102628127,0
0.102934377,2
0.103240627,0
0.103546877,0
0.103853127,0
0.104159377,2
0.104465627,1
0.104771877,0
0.105078127,0
0.105384377,0
0.105690627,1
0.105996877,0
0.106303127,0
0.106609377,1
0.106915627,1
0.107221877,1
0.107528127,0
0.107834377,0
0.108140627,1
0.108446877,0
0.108753127,1
0.109059377,0
0.109365627,0
0.109671877,1
0.109978127,0
0.110284377,1
0.110590627,2
0.110896877,3
0.111203127,0
0.111509377,5
0.111815627,0
0.112121877,1
0.112428127,1
0.112734377,0
0.113040627,0
0.113346877,2
0.113653127,2
0.113959377,1
0.114265627,1
0.114571877,1
0.114878127,1
0.115184377,4
0.115490627,4
0.115796877,1
0.116103127,4
0.116409377,2
0.116715627,4
0.117021877,2
0.117328127,5
0.117634377,3
0.117940627,4
0.118246877,7
0.118553127,5
0.118859377,3
0.119165627,1
0.119471877,1
0.119778127,1
0.120084377,7
0.120390627,2
0.120696877,4
0.121003127,3
0.121309377,6
0.121615627,6
0.121921877,7
0.122228127,3
0.122534377,11
0.122840627,1
0.123146877,11
0.123453127,1
0.123759377,7
0.124065627,11
0.124371877,1
0.124678127,14
0.124984377,4
0.125290627,8
0.125596877,11
0.125903127,12
0.126209377,4
0.126515627,19
0.126821877,7
0.127128127,9
0.127434377,8
0.127740627,16
0.128046877,16
0.128353127,12
0.128659377,16
0.128965627,10
0.129271877,17
0.129578127,7
0.129884377,12
0.130190627,9
0.130496877,13
0.130803127,4
0.131109377,25
0.131415627,9
0.131721877,18
0.132028127,5
0.132334377,23
0.132640627,7
0.132946877,17
0.133253127,23
0.133559377,6
0.133865627,21
0.134171877,6
0.134478127,25
0.134784377,3
0.135090627,15
0.135396877,16
0.135703127,16
0.136009377,11
0.136315627,21
0.136621877,21
0.136928127,25
0.137234377,22
0.137540627,23
0.137846877,25
0.138153127,21
0.138459377,19
0.138765627,27
0.139071877,21
0.139378127,20
0.139684377,26
0.139990627,19
0.140296877,18
0.140603127,27
0.140909377,32
0.141215627,21
0.141521877,29
0.141828127,14
0.142134377,31
0.142440627,13
0.142746877,48
0.143053127,23
0.143359377,17
0.143665627,41
0.143971877,30
0.144278127,21
0.144584377,11
0.144890627,47
0.145196877,6
0.145503127,48
0.145809377,17
0.146115627,47
0.146421877,18
0.146728127,30
0.147034377,21
0.147340627,35
0.147646877,31
0.147953127,11
0.148259377,49
0.148565627,10
0.148871877,33
0.149178127,7
0.149484377,27
0.149790627,18
0.150096877,35
0.150403127,16
0.150709377,22
0.151015627,23
0.151321877,25
0.151628127,21
0.151934377,28
0.152240627,23
0.152546877,26
0.152853127,23
0.153159377,22
0.153465627,27
0.153771877,19
0.154078127,29
0.154384377,20
0.154690627,27
0.154996877,18
0.155303127,25
0.155609377,21
0.155915627,23
0.156221877,13
0.156528127,23
0.156834377,9
0.157140627,29
0.157446877,25
0.157753127,23
0.158059377,31
0.158365627,13
0.158671877,19
0.158978127,8
0.159284377,32
0.159590627,11
0.159896877,43
0.160203127,10
0.160509377,38
0.160815627,10
0.161121877,28
0.161428127,22
0.161734377,23
0.162040627,12
0.162346877,24
0.162653127,43
0.162959377,11
0.163265627,22
0.163571877,14
0.163878127,28
0.164184377,17
0.164490627,27
0.164796877,19
0.165103127,20
0.165409377,14
0.165715627,22
0.166021877,12
0.166328127,21
0.166634377,19
0.166940627,18
0.167246877,18
0.167553127,31
0.167859377,21
0.168165627,12
0.168471877,12
0.168778127,16
0.169084377,26
0.169390628,14
0.169696878,32
0.170003128,13
0.170309378,25
0.170615628,12
0.170921878,30
0.171228128,10
0.171534378,32
0.171840628,8
0.172146878,28
0.172453128,17
0.172759378,5
0.173065628,21
0.173371878,10
0.173678128,30
0.173984378,8
0.174290628,21
0.174596878,6
0.174903128,30
0.175209378,2
0.175515628,22
0.175821878,17
0.176128128,21
0.176434378,18
0.176740628,17
0.177046878,13
0.177353128,18
0.177659378,21
0.177965628,7
0.178271878,14
0.178578128,13
0.178884378,17
0.179190628,14
0.179496878,11
0.179803128,12
0.180109378,20
0.180415628,11
0.180721878,13
0.181028128,17
0.181334378,18
0.181640628,1
0.181946878,22
0.182253128,20
0.182559378,10
0.182865628,20
0.183171878,12
0.183478128,9
0.183784378,8
0.184090628,18
0.184396878,9
0.184703128,15
0.185009378,6
0.185315628,18
0.185621878,2
0.185928128,11
0.186234378,2
0.186540628,12
0.186846878,2
0.187153128,10
0.187459378,15
0.187765628,3
0.188071878,15
0.188378128,3
0.188684378,13
0.188990628,4
0.189296878,6
0.189603128,10
0.189909378,12
0.190215628,6
0.190521878,13
0.190828128,7
0.191134378,13
0.191440628,7
0.191746878,9
0.192053128,10
0.192359378,4
0.192665628,13
0.192971878,9
0.193278128,18
0.193584378,10
0.193890628,15
0.194196878,9
0.194503128,10
0.194809378,5
0.195115628,20
0.195421878,6
0.195728128,10
0.196034378,8
0.196340628,9
0.196646878,12
0.196953128,9
0.197259378,5
0.197565628,1
0.197871878,8
0.198178128,4
0.198484378,4
0.198790628,4
0.199096878,7
0.199403128,5
0.199709378,8
0.200015628,3
0.200321878,13
0.200628128,3
0.200934378,6
0.201240628,0
0.201546878,3
0.201853128,5
0.202159378,2
0.202465628,5
0.202771878,2
0.203078128,8
0.203384378,2
0.203690628,7
0.203996878,7
0.204303128,2
0.204609378,2
0.204915628,9
0.205221878,1
0.205528128,12
0.205834378,0
0.206140628,6
0.206446878,9
0.206753128,3
0.207059378,8
0.207365628,1
0.207671878,9
0.207978128,1
0.208284378,2
0.208590628,1
0.208896878,5
0.209203128,1
0.209509378,4
0.209815628,1
0.210121878,1
0.210428128,0
0.210734378,4
0.211040628,0
0.211346878,3
0.211653128,1
0.211959378,2
0.212265628,1
0.212571878,1
0.212878128,1
0.213184378,2
0.213490628,0
0.213796878,2
0.214103128,3
0.214409378,2
0.214715628,3
0.215021878,3
0.215328128,1
0.215634378,0
0.215940628,1
0.216246878,3
0.216553128,0
0.216859378,1
0.217165628,0
0.217471878,2
0.217778128,0
0.218084378,2
0.218390628,2
0.218696878,4
0.219003128,0
0.219309378,1
0.219615628,1
0.219921878,0
0.220228128,2
0.220534378,0
0.220840628,3
0.221146878,0
0.221453128,1
0.221759378,1
0.222065628,0
0.222371878,0
0.222678128,1
0.222984378,1
0.223290628,0
0.223596878,0
0.223903128,0
0.224209378,0
0.224515628,1
0.224821878,0
0.225128128,0
0.225434378,0
0.225740628,0
0.226046878,0
0.226353128,0
0.226659378,0
0.226965628,1
0.227271878,0
0.227578128,0
0.227884378,0
0.228190628,0
0.228496878,0
0.228803128,0
0.229109378,0
0.229415628,0
0.229721878,0
0.230028128,0
0.230334378,0
0.230640628,0
0.230946878,0
0.231253128,0
0.231559378,0
0.231865628,1
0.232171878,1
0.232478128,2
0.232784378,0
0.233090628,0
0.233396878,0
0.233703128,0
0.234009378,0
0.234315628,0
0.234621878,0
0.234928128,0
0.235234378,0
0.235540628,0
0.235846878,0
0.236153128,0
0.236459378,0
0.236765628,0
0.237071878,0
0.237378128,0
0.237684378,0
0.237990628,0
0.238296878,0
0.238603128,0
0.238909378,0
0.239215628,0
0.239521878,0
0.239828128,0
0.240134378,0
0.240440628,0
0.240746878,0
0.241053128,0
0.241359378,0
0.241665628,0
0.241971878,0
0.242278128,0
0.242584378,0
0.242890628,0
0.243196878,0
0.243503128,0
0.243809378,0
0.244115628,0
0.244421878,0
0.244728128,0
0.245034378,0
0.245340628,0
0.245646878,1
